net,length_um
net1,22.92
net2,21.7
net3,20.74
net5,17.58
net4,16.54
a,5.97
carry_in,5.63
carry_out,5.07
b,4.61
_1_,4.46
c,4.39
_2_,2.96
_0_,1.26
